name,club,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,nationality
Alexis Sanchez,Arsenal,28,LW,attacker,65.0,4329,12.0,17.10%,264,Americas,Chile
Mesut Ozil,Arsenal,28,AM,attacker,50.0,4395,9.5,5.60%,167,EU,Germany
Petr Cech,Arsenal,35,GK,goalkeeper,7.0,1529,5.5,5.90%,134,EU,Czech Republic
Theo Walcott,Arsenal,28,RW,attacker,20.0,2393,7.5,1.50%,122,England,England
Laurent Koscielny,Arsenal,31,CB,defender,22.0,912,6.0,0.70%,121,EU,France
Hector Bellerin,Arsenal,22,RB,defender,30.0,1675,6.0,13.70%,119,EU,Spain
Olivier Giroud,Arsenal,30,CF,attacker,22.0,2230,8.5,2.50%,116,EU,France
Nacho Monreal,Arsenal,31,LB,defender,13.0,555,5.5,4.70%,115,EU,Spain
Shkodran Mustafi,Arsenal,25,CB,defender,30.0,1877,5.5,4.00%,90,EU,Germany
Alex Iwobi,Arsenal,21,LW,attacker,10.0,1812,5.5,1.00%,89,Rest Of World,Nigeria
Granit Xhaka,Arsenal,24,DM,midfielder,35.0,1815,5.5,2.00%,85,EU,Switzerland
Alex Oxlade-Chamberlain,Arsenal,23,RM,midfielder,22.0,1519,6.0,1.80%,83,England,England
Jack Wilshere,Arsenal,25,CM,midfielder,18.0,1759,5.5,0.00%,61,England,England
Aaron Ramsey,Arsenal,26,CM,midfielder,35.0,1040,7.0,5.10%,56,England,Wales
Francis Coquelin,Arsenal,26,DM,midfielder,15.0,549,4.5,1.70%,52,EU,France
Gabriel Paulista,Arsenal,26,CB,defender,13.0,552,5.0,0.10%,45,Americas,Brazil
Kieran Gibbs,Arsenal,27,LB,defender,10.0,489,5.0,0.50%,45,England,England
Santi Cazorla,Arsenal,32,CM,midfielder,12.0,943,7.0,0.10%,38,EU,Spain
Danny Welbeck,Arsenal,26,CF,attacker,15.0,1521,7.5,0.50%,37,England,England
Rob Holding,Arsenal,21,CB,defender,7.0,666,5.0,1.70%,32,England,England
Mohamed Elneny,Arsenal,25,DM,midfielder,10.0,683,4.5,0.80%,26,Rest Of World,Egypt
Lucas Perez,Arsenal,28,CF,attacker,15.0,2055,7.5,0.10%,20,EU,Spain
Emiliano Martinez,Arsenal,24,GK,goalkeeper,1.0,372,4.0,4.20%,8,Americas,Argentina
David Ospina,Arsenal,28,GK,goalkeeper,7.0,544,5.0,0.20%,2,Americas,Colombia
Carl Jenkinson,Arsenal,25,RB,defender,5.0,561,4.5,0.40%,2,England,England
Per Mertesacker,Arsenal,32,CB,defender,6.0,702,5.0,1.00%,1,EU,Germany
Sead Kolasinac,Arsenal,24,LB,defender,15.0,618,6.0,6.90%,0,EU,Bosnia
Alexandre Lacazette,Arsenal,26,CF,attacker,40.0,1183,10.5,26.50%,0,EU,France
Joshua King,Bournemouth,25,SS,attacker,8.0,997,7.5,10.40%,178,EU,Norway
Jermain Defoe,Bournemouth,34,CF,attacker,5.0,3213,8.0,15.00%,166,England,England
Charlie Daniels,Bournemouth,30,LB,defender,3.0,185,5.0,19.80%,134,England,England
Artur Boruc,Bournemouth,37,GK,goalkeeper,1.0,436,4.5,6.90%,120,EU,Poland
Steve Cook,Bournemouth,26,CB,defender,5.0,184,5.0,2.00%,112,England,England
Junior Stanislas,Bournemouth,27,LW,attacker,4.5,315,6.0,0.60%,107,England,England
Adam Smith,Bournemouth,26,RB,defender,5.0,200,5.0,0.90%,104,England,England
Ryan Fraser,Bournemouth,23,LW,attacker,5.0,516,5.5,1.60%,100,EU,Scotland
Simon Francis,Bournemouth,32,RB,defender,2.5,167,4.5,4.00%,89,England,England
Benik Afobe,Bournemouth,24,CF,attacker,10.0,528,6.0,0.70%,88,Rest Of World,Congo DR
Harry Arter,Bournemouth,27,CM,midfielder,2.5,666,5.0,0.90%,84,EU,Ireland
Marc Pugh,Bournemouth,30,LW,attacker,2.0,140,5.0,0.10%,64,England,England
Callum Wilson,Bournemouth,25,CF,attacker,10.0,337,6.0,0.20%,63,England,England
Nathan Ake,Bournemouth,22,CB,defender,8.0,1274,5.0,11.50%,55,EU,Netherlands
Dan Gosling,Bournemouth,27,CM,midfielder,3.0,184,5.0,0.10%,49,England,England
Andrew Surman,Bournemouth,30,CM,midfielder,2.0,154,4.5,1.10%,44,England,England
Jordon Ibe,Bournemouth,21,RW,attacker,8.0,504,5.0,0.40%,36,England,England
Lewis Cook,Bournemouth,20,CM,midfielder,6.0,243,4.5,0.80%,17,England,England
Lys Mousset,Bournemouth,21,CF,attacker,4.0,131,5.0,0.10%,14,EU,France
Adam Federici,Bournemouth,32,GK,goalkeeper,1.0,126,4.0,1.50%,8,Rest Of World,Australia
Max Gradel,Bournemouth,29,LW,attacker,7.0,287,5.0,0.10%,8,Rest Of World,Cote d'Ivoire
Tyrone Mings,Bournemouth,24,CB,defender,5.0,422,4.5,0.40%,4,England,England
Brad Smith,Bournemouth,23,LB,defender,2.0,297,4.0,3.30%,4,Rest Of World,Australia
Asmir Begovic,Bournemouth,30,GK,goalkeeper,8.0,697,4.5,9.30%,2,EU,Bosnia
Niki Maenpaa,Brighton+and+Hove,32,GK,goalkeeper,0.25,103,4.0,2.10%,0,EU,Finland
Mathew Ryan,Brighton+and+Hove,25,GK,goalkeeper,3.5,344,4.5,1.50%,0,Rest Of World,Australia
Lewis Dunk,Brighton+and+Hove,25,CB,defender,5.0,140,4.5,4.10%,0,England,England
Shane Duffy,Brighton+and+Hove,25,CB,defender,5.0,243,4.5,0.60%,0,EU,Ireland
Uwe Hunemeier,Brighton+and+Hove,31,CB,defender,1.5,88,4.0,8.00%,0,EU,Germany
Bruno,Brighton+and+Hove,36,RB,attacker,0.5,215,4.5,0.40%,0,Americas,Argentina
Gaetan Bong,Brighton+and+Hove,29,LB,defender,1.5,97,4.5,0.20%,0,Rest Of World,Cameroon
Liam Rosenior,Brighton+and+Hove,33,RB,defender,1.0,132,4.0,3.20%,0,England,England
Connor Goldson,Brighton+and+Hove,24,CB,defender,0.75,52,4.0,0.80%,0,England,England
Markus Suttner,Brighton+and+Hove,30,LB,defender,2.0,23,4.5,0.20%,0,EU,Austria
Anthony Knockaert,Brighton+and+Hove,25,RW,attacker,8.0,726,6.0,4.80%,0,EU,France
Dale Stephens,Brighton+and+Hove,27,CM,midfielder,5.0,122,4.5,0.90%,0,England,England
Beram Kayal,Brighton+and+Hove,29,CM,midfielder,1.25,167,4.5,0.30%,0,Rest Of World,Israel
Steve Sidwell,Brighton+and+Hove,34,CM,midfielder,1.0,461,4.5,0.60%,0,England,England
Solly March,Brighton+and+Hove,23,RM,midfielder,0.5,139,5.0,0.20%,0,England,England
Jiri Skalak,Brighton+and+Hove,25,LW,attacker,1.5,87,5.0,0.10%,0,EU,Czech Republic
Oliver Norwood,Brighton+and+Hove,26,CM,midfielder,2.5,134,4.5,0.20%,0,EU,Northern Ireland
Jamie Murphy,Brighton+and+Hove,27,LW,attacker,1.75,114,5.0,0.10%,0,EU,Scotland
Pascal Gross,Brighton+and+Hove,26,CM,midfielder,4.0,22,5.5,0.30%,0,EU,Germany
Glenn Murray,Brighton+and+Hove,33,CF,attacker,3.5,496,6.0,1.30%,0,England,England
Tomer Hemed,Brighton+and+Hove,30,CF,attacker,2.5,253,5.0,0.40%,0,Rest Of World,Israel
Sam Baldock,Brighton+and+Hove,28,CF,attacker,3.0,204,5.0,0.20%,0,England,England
Tom Heaton,Burnley,31,GK,goalkeeper,4.0,717,5.0,13.50%,149,England,England
Sam Vokes,Burnley,27,CF,attacker,4.5,290,6.0,2.90%,121,EU,Wales
Andre Gray,Burnley,26,CF,attacker,10.0,687,6.5,1.70%,108,England,England
Ben Mee,Burnley,27,CB,defender,6.0,166,4.5,13.70%,94,England,England
Stephen Ward,Burnley,31,LB,defender,1.5,152,4.5,2.50%,91,EU,Ireland
Matthew Lowton,Burnley,28,RB,defender,2.5,121,4.5,1.20%,90,England,England
Ashley Barnes,Burnley,27,CF,attacker,2.5,287,5.5,1.20%,81,England,England
Jeff Hendrick,Burnley,25,CM,midfielder,6.0,352,5.5,0.20%,76,EU,Ireland
Scott Arfield,Burnley,28,LM,midfielder,3.0,304,5.0,0.10%,69,Americas,Canada
Steven Defour,Burnley,29,CM,midfielder,6.0,336,5.5,0.20%,54,EU,Belgium
Dean Marney,Burnley,33,CM,midfielder,1.0,171,4.5,0.00%,51,England,England
Jack Cork,Burnley,28,DM,midfielder,5.0,204,4.5,0.50%,50,England,England
Johann Berg Gudmundsson,Burnley,26,RW,attacker,2.5,180,5.0,0.10%,47,EU,Iceland
Robbie Brady,Burnley,25,LM,midfielder,10.0,614,5.5,0.40%,39,EU,Ireland
James Tarkowski,Burnley,24,CB,defender,2.0,116,4.5,0.10%,23,England,England
Ashley Westwood,Burnley,27,DM,midfielder,4.0,161,4.5,0.10%,13,England,England
Kevin Long,Burnley,26,CB,defender,0.5,68,4.0,1.70%,3,EU,Ireland
Matthew Taylor,Burnley,35,LM,midfielder,0.25,255,4.5,0.40%,0,England,England
Eden Hazard,Chelsea,26,LW,attacker,75.0,4220,10.5,2.30%,224,EU,Belgium
Diego Costa,Chelsea,28,CF,attacker,50.0,4454,10.0,3.00%,196,EU,Spain
Gary Cahill,Chelsea,31,CB,defender,16.0,1420,6.5,12.00%,178,England,England
Marcos Alonso Mendoza,Chelsea,26,LB,defender,25.0,3069,7.0,12.40%,177,EU,Spain
Cesar Azpilicueta,Chelsea,27,RB,defender,30.0,869,6.5,12.30%,170,EU,Spain
Pedro,Chelsea,29,RW,attacker,28.0,1500,8.0,7.80%,162,EU,Spain
Thibaut Courtois,Chelsea,25,GK,goalkeeper,40.0,1260,5.5,18.50%,141,EU,Belgium
David Luiz,Chelsea,30,CB,defender,30.0,2745,6.0,20.30%,132,Americas,Brazil
Cesc Fabregas,Chelsea,30,CM,midfielder,35.0,2378,7.0,7.50%,121,EU,Spain
Willian,Chelsea,28,RW,attacker,32.0,1165,7.0,9.00%,114,Americas,Brazil
Victor Moses,Chelsea,26,RM,midfielder,18.0,2537,6.5,0.20%,105,Rest Of World,Nigeria
Nemanja Matic,Chelsea,28,DM,midfielder,35.0,892,5.0,5.00%,105,EU,Serbia
